"Var2","C","K_s","A","Y","L_s","I","Case"
"1",0.00570850160086202,0.0022507524360057,0.01,0.013053719933317,0.00469803074988149,0.0375125406000952,"base case"
"2",0.00664593052135382,0.00413382748784243,0.0095,0.0128791979550973,0.00398682254750449,0.0336353366332848,"base case"
"3",0.00739786827287108,0.00569653104088542,0.009025,0.012659198578288,0.0033651677077136,0.0301788867052257,"base case"
"4",0.00798930300484092,0.0069805251575971,0.00857375,0.0124021400480285,0.00282246805403676,0.0270964329860803,"base case"
"5",0.0084421922051798,0.00802248191461918,0.0081450625,0.0121153231859346,0.00234934912460314,0.0243464711079653,"base case"
"6",0.00877581615194744,0.00885466241913929,0.007737809375,0.0118050662160786,0.00193752033829596,0.0218921569899545,"base case"
"7",0.00900709080342453,0.00950542952119381,0.00735091890625,0.0114768238995494,0.00157965106795483,0.0197007807867148,"base case"
"8",0.00915084474933294,0.00999970177138207,0.0069833729609375,0.0111352927767249,0.00126926081465223,0.017743300357665,"base case"
"9",0.00922006432065939,0.0103593553160068,0.00663420431289063,0.0107845041114279,0.00100062188192908,0.0159939275151281,"base case"
"10",0.00922611048988934,0.0106035796614784,0.0063024940972461,0.0104279059494549,0.000768673130505679,0.0144297610738671,"base case"
"11",0.00917891078064798,0.0107491925658943,0.00598736939238379,0.0100684355429313,0.000568943555019052,0.0130304614017424,"base case"
"12",0.00908712903978631,0.0108109187182485,0.0056880009227646,0.00970858324920993,0.000397484567112551,0.0117779617717986,"base case"
"13",0.00895831560052856,0.0108016363360693,0.00540360087662637,0.00935044888651843,0.00025080999578688,0.0106562123485958,"base case"
"14",0.00879904007770164,0.0107325953427307,0.00513342083279505,0.00899579141643103,0.000125842928150916,0.0096509531137583,"base case"
"15",0.00861500878112074,0.010613610369428,0.0048767497911553,0.00864607272386201,1.98686132120381e-05,0.00874951245435371,"base case"
"16",0.00841116850720429,0.0104532314577973,0.00463291230159754,0.00830249617720042,-6.95072604371735e-05,0.00794062850891599,"base case"
"17",0.00819179826855252,0.0102588950120329,0.00440126668651766,0.00796604057315007,-0.000144395523966833,0.0072142906950565,"base case"
"18",0.00796059034363624,0.0100370572593771,0.00418120335219178,0.00763749000166382,-0.000206656266281623,0.00656159913443661,"base case"
"19",0.00772072187132418,0.00979331222079256,0.00397214318458219,0.00731746010506026,-0.000257927830729203,0.00597463994963531,"base case"
"20",0.00747491807544145,0.00953249596575779,0.00377353602535308,0.00700642115108969,-0.000299652496153973,0.00544637463687983,"base case"
"21",0.00722550808086737,0.0092587787231349,0.00358485922408543,0.00670471829158114,-0.000333099219583578,0.00497054192204309,"base case"
"22",0.00697447417305184,0.00897574624100843,0.00340561626288115,0.0064125893356519,-0.000359383774995575,0.00454157068769381,"base case"
"23",0.0067234952556582,0.00868647162968357,0.0032353354497371,0.00613018032867082,-0.000379486584631432,0.00415450271892755,"base case"
