"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case"
"1",0.00658052238815323,0.00471721699017642,0.00868980869675127,0.00374340372348535,0.00841110466263212,0,0.00191532401145474,0.00191532401145474,0.031922066857579,0.031922066857579,0.0124332124202309,0.01,"Non-Ricardian Agents omega Medium"
"2",0.00723129551386137,0.00562976987563218,0.00904424367858707,0.00321748492969159,0.00722941058275237,0,0.00354115770347927,0.00354115770347927,0.0290125522118635,0.0290125522118635,0.0122617286082746,0.0095,"Non-Ricardian Agents omega Medium"
"3",0.00775042886812964,0.00638053960601944,0.00930116159718304,0.00275212456858233,0.00618378606766962,0,0.00491156968369885,0.00491156968369885,0.0263813573738057,0.0263813573738056,0.0120532861657627,0.009025,"Non-Ricardian Agents omega Medium"
"4",0.0081545279530955,0.00698936380767695,0.00947350914741246,0.00234082926243051,0.00525964105878723,0,0.00605694329854573,0.00605694329854573,0.0240011299311469,0.0240011299311469,0.0118143384098416,0.00857375,"Non-Ricardian Agents omega Medium"
"5",0.0084583541744613,0.00747389993491908,0.0095727693697172,0.00197778081354862,0.00444390256870861,0,0.00700436134722181,0.00700436134722181,0.0218472441098137,0.0218472441098137,0.0115505501832655,0.0081450625,"Non-Ricardian Agents omega Medium"
"6",0.00867501958857117,0.00784985446747652,0.00960911739891801,0.0016577669930792,0.00372485916963066,0,0.00777795128549564,0.00777795128549564,0.0198975269851191,0.0198975269851191,0.0112668843919978,0.007737809375,"Non-Ricardian Agents omega Medium"
"7",0.0088161615405688,0.00813118849164817,0.00959156007449444,0.00137611937613483,0.00309202131427546,0,0.00839919494548898,0.00839919494548899,0.0181320122853847,0.0181320122853847,0.0109676794506306,0.00735091890625,"Non-Ricardian Agents omega Medium"
"8",0.00889209924810688,0.00833030207553098,0.00952806106392628,0.0011286575082878,0.00253599588281783,0,0.00888720638888906,0.00888720638888906,0.016532719002157,0.0165327190021569,0.0106567185722161,0.0069833729609375,"Non-Ricardian Agents omega Medium"
"9",0.00891197417625232,0.0084581996038139,0.00942565298267533,0.000911638760843333,0.00204837351201763,0,0.00925898114371823,0.00925898114371823,0.0150834523027086,0.0150834523027086,0.0103372917435212,0.00663420431289063,"Non-Ricardian Agents omega Medium"
"10",0.00888387586157848,0.00852463801756429,0.0092905378434158,0.000721713297430939,0.00162162740904245,0,0.00952961974470987,0.00952961974470987,0.013769624493579,0.013769624493579,0.0100122511408497,0.0063024940972461,"Non-Ricardian Agents omega Medium"
